feature_name,feature_type,description,data_type,unique_values,missing_values
in_general_what_are_the_main_reasons_you_stop_watching_movies_before_finishing_boring_uninteresting_plot,Binary,Binary survey response (0/1),int64,2,0
which_genres_do_you_find_yourself_stopping_more_often_before_finishing_historical,Binary,Binary survey response (0/1),int64,2,0
why_do_you_usually_pause_the_movie_feeling_bored_or_uninterested,Binary,Binary survey response (0/1),int64,2,0
total_genres_stopped,Engineered,Engineered feature from original data,int64,7,0
total_stopping_reasons,Engineered,Engineered feature from original data,int64,7,0
why_do_you_usually_choose_to_watch_movies_trailer_or_promotional_material,Binary,Binary survey response (0/1),int64,2,0
genre_completion_ratio,Engineered,Engineered feature from original data,float64,17,0
why_do_you_usually_choose_to_watch_movies_awards_or_critical_acclaim,Binary,Binary survey response (0/1),int64,2,0
why_do_you_usually_pause_the_movie_lost_focus_or_distracted,Binary,Binary survey response (0/1),int64,2,0
in_general_what_are_the_main_reasons_you_stop_watching_movies_before_finishing_distractions_or_interruptions,Binary,Binary survey response (0/1),int64,2,0
in_general_what_are_the_main_reasons_you_stop_watching_movies_before_finishing_technical_issues_buffering_audio_etc.,Binary,Binary survey response (0/1),int64,2,0
genre_completion_ratio_uniform_bins,Engineered,Engineered feature from original data,float64,5,0
patience_score,Other,Other feature type,float64,3,0
total_multitasking_behaviors,Engineered,Engineered feature from original data,int64,6,0
do_you_usually_do_other_things_while_watching_movies_i_chat_or_text_with_others,Binary,Binary survey response (0/1),int64,2,0
attention_span_score,Other,Other feature type,float64,4,0
why_do_you_usually_pause_the_movie_to_discuss_something_with_others_watching,Binary,Binary survey response (0/1),int64,2,0
behavior_cluster,Other,Other feature type,int64,3,0
social_influence_score,Other,Other feature type,int64,6,0
do_you_usually_do_other_things_while_watching_movies_no_i_usually_focus_only_on_the_movie,Binary,Binary survey response (0/1),int64,2,0
total_genres_stopped_quantile_bins,Engineered,Engineered feature from original data,float64,2,0
which_genres_do_you_find_yourself_stopping_more_often_before_finishing_romance,Binary,Binary survey response (0/1),int64,2,0
why_do_you_usually_choose_to_watch_movies_recently_trending,Binary,Binary survey response (0/1),int64,2,0
why_do_you_usually_pause_the_movie_technical_issues_e.g._buffering_audio_video_problems,Binary,Binary survey response (0/1),int64,2,0
how_do_you_usually_discover_movies_you_decide_to_watch_reviews_or_ratings,Binary,Binary survey response (0/1),int64,2,0
which_genres_do_you_find_yourself_stopping_more_often_before_finishing_action,Binary,Binary survey response (0/1),int64,2,0
watch_frequency_score,Other,Other feature type,float64,6,0
why_do_you_usually_pause_the_movie_snack_refill,Binary,Binary survey response (0/1),int64,2,0
how_do_you_usually_discover_movies_you_decide_to_watch_friend_family_recommendation,Binary,Binary survey response (0/1),int64,2,0
why_do_you_usually_choose_to_watch_movies_entertainment,Binary,Binary survey response (0/1),int64,2,0
do_you_usually_do_other_things_while_watching_movies_i_scroll_on_my_phone_or_use_social_media,Binary,Binary survey response (0/1),int64,2,0
do_you_usually_do_other_things_while_watching_movies_i_do_chores_laundry_cleaning_etc.,Binary,Binary survey response (0/1),int64,2,0
why_do_you_usually_pause_the_movie_answering_phone_or_messages,Binary,Binary survey response (0/1),int64,2,0
how_do_you_usually_discover_movies_you_decide_to_watch_streaming_platform_suggestion,Binary,Binary survey response (0/1),int64,2,0
which_genres_do_you_find_yourself_stopping_more_often_before_finishing_contemporary,Binary,Binary survey response (0/1),int64,2,0
how_do_you_usually_discover_movies_you_decide_to_watch_social_media,Binary,Binary survey response (0/1),int64,2,0
which_genres_do_you_find_yourself_stopping_more_often_before_finishing_none__no_specific_genre,Binary,Binary survey response (0/1),int64,2,0
why_do_you_usually_choose_to_watch_movies_recommendation_from_friends_or_family,Binary,Binary survey response (0/1),int64,2,0
which_genres_do_you_find_yourself_stopping_more_often_before_finishing_comedy,Binary,Binary survey response (0/1),int64,2,0
genre_completion_ratio_quantile_bins,Engineered,Engineered feature from original data,float64,3,0
in_general_what_are_the_main_reasons_you_stop_watching_movies_before_finishing_poor_acting_or_characters,Binary,Binary survey response (0/1),int64,2,0
which_genres_do_you_enjoy_watching_the_most_action,Binary,Binary survey response (0/1),int64,2,0
is_weekend,Other,Other feature type,int64,2,0
in_general_what_are_the_main_reasons_you_stop_watching_movies_before_finishing_not_in_the_right_mood,Binary,Binary survey response (0/1),int64,2,0
where_do_you_usually_watch_movies_streaming_at_home_netflix_disney+_etc.,Binary,Binary survey response (0/1),int64,2,0
where_do_you_usually_watch_movies_in_a_cinema_theater,Binary,Binary survey response (0/1),int64,2,0
how_do_you_usually_discover_movies_you_decide_to_watch_trailer,Binary,Binary survey response (0/1),int64,2,0
total_genres_enjoyed_quantile_bins,Engineered,Engineered feature from original data,float64,4,0
why_do_you_usually_choose_to_watch_movies_favorite_actors_or_directors,Binary,Binary survey response (0/1),int64,2,0
which_genres_do_you_enjoy_watching_the_most_romance,Binary,Binary survey response (0/1),int64,2,0
